Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,Battery_Cell,BatteryHolder_Keystone_3034_1x20mm,51.265,-35.4875,180.0,top
BT2,Battery_Cell,BatteryHolder_Keystone_3034_1x20mm,51.25,-35.4875,180.0,bottom
D1,LED,LED_D5.0mm,33.8,-49.2775,90.0,top
D2,LED,LED_D5.0mm,41.52,-49.2775,90.0,top
D3,LED,LED_D5.0mm,48.8,-49.2775,90.0,top
D4,LED,LED_D5.0mm,56.46,-49.2775,90.0,top
Q1,BC337,TO-92_Inline,62.11,-68.5275,-90.0,top
Q2,BC337,TO-92_Inline,57.86,-68.5275,90.0,top
Q3,BC337,TO-92_Inline,52.25,-68.5075,-90.0,top
Q4,BC337,TO-92_Inline,48.0,-68.5075,90.0,top
Q5,BC337,TO-92_Inline,42.5,-68.5075,-90.0,top
Q6,BC337,TO-92_Inline,38.25,-68.5075,90.0,top
Q7,BC337,TO-92_Inline,32.75,-68.5075,-90.0,top
Q8,BC337,TO-92_Inline,28.5,-68.5075,90.0,top
R1,47kR,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,62.11,-76.3175,90.0,top
R10,47kR,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,32.86,-76.3175,90.0,top
R11,47kR,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,28.61,-76.2575,90.0,top
R12,220R,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,33.69,-57.4275,90.0,top
R13,220R,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,41.52,-57.4275,90.0,top
R14,220R,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,48.75,-57.4275,90.0,top
R15,220R,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,56.44,-57.4275,90.0,top
R16,4.7kR,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,30.5,-64.2375,180.0,top
R2,47kR,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,57.86,-76.3175,90.0,top
R3,4.7kR,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,60.05,-64.2575,180.0,top
R4,47kR,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,52.36,-76.3175,90.0,top
R5,47kR,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,48.11,-76.3175,90.0,top
R6,4.7kR,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,50.0,-64.2575,180.0,top
R7,47kR,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,42.61,-76.3175,90.0,top
R8,47kR,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,38.36,-76.2575,90.0,top
R9,4.7kR,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,40.25,-64.2375,180.0,top
RV1,R_Potentiometer,Potentiometer_Vishay_T73YP_Vertical,31.5,-36.6825,-90.0,top
SW1,SW_Push,SW_PUSH_6mm,30.05,-94.5075,0.0,top
SW2,SW_Push,SW_PUSH_6mm,30.05,-102.0075,0.0,top
SW3,SW_Push,SW_PUSH_6mm,30.05,-109.5075,0.0,top
SW4,SW_Push,SW_PUSH_6mm,30.05,-117.0075,0.0,top
SW5,SW_Push,SW_PUSH_6mm,38.55,-86.2575,90.0,top
SW6,SW_Push,SW_PUSH_6mm,46.05,-86.2575,90.0,top
SW7,SW_Push,SW_PUSH_6mm,53.55,-86.2575,90.0,top
SW8,SW_Push,SW_PUSH_6mm,61.05,-86.2575,90.0,top
